animal_type,title,description,location,source_url,image_url
Кошка,"Найдена кошка, Район Хамовники...","Найдена кошка, Район Хамовники...",Москва,https://pet911.ru/moskva/found/cat/rf1203093,
Кошка,"Найдена кошка, Москва, 8-я Тек...","Найдена кошка, Москва, 8-я Тек...",Москва,https://pet911.ru/moskva/found/cat/rf1203058,
Собака,"Пропала собака, Маршала Баграм...","Пропала собака, Маршала Баграм...",Москва,https://pet911.ru/moskva/lost/dog/rl1204715,
Кошка,"Пропала кошка, Москва, Реутовс...","Пропала кошка, Москва, Реутовс...",Москва,https://pet911.ru/moskva/lost/cat/rl1203101,
Кошка,"Найдена кошка, Красногорск, Ус...","Найдена кошка, Красногорск, Ус...",Москва,https://pet911.ru/krasnogorsk/found/cat/rf1202956,
Кошка,"Найдена кошка, Москва — серый...","Найдена кошка, Москва — серый...",Москва,https://pet911.ru/moskva/found/cat/rf1202873,
Кошка,"Найдена кошка, Москва, Кастана...","Найдена кошка, Москва, Кастана...",Москва,https://pet911.ru/moskva/found/cat/rf1202850,
Собака,"Пропала собака, Балашиха — доб...","Пропала собака, Балашиха — доб...",Москва,https://pet911.ru/balashikha/lost/dog/rl1202818,
Собака,"Найдена собака, Москва, Бауман...","Найдена собака, Москва, Бауман...",Москва,https://pet911.ru/moskva/found/dog/rf1202670,
Кошка,"Пропала кошка, Район Нижегород...","Пропала кошка, Район Нижегород...",Москва,https://pet911.ru/moskva/lost/cat/rl1202658,
Кошка,"Пропала кошка, Утренняя, д. 7,...","Пропала кошка, Утренняя, д. 7,...",Москва,https://pet911.ru/moskva/lost/cat/rl1202578,
Кошка,"Найдена кошка, Москва, 8-я Тек...","Найдена кошка, Москва, 8-я Тек...",Москва,https://pet911.ru/moskva/found/cat/rf1202422,
Собака,"Найдена собака, Щербаковская у...","Найдена собака, Щербаковская у...",Москва,https://pet911.ru/moskva/found/cat/rf1197131,
Собака,"Пропала собака, Люберцы, Карла...","Пропала собака, Люберцы, Карла...",Москва,https://pet911.ru/lyubertsy/lost/dog/rl1203857,
Кошка,"Пропала кошка, Люберцы, Октябр...","Пропала кошка, Люберцы, Октябр...",Москва,https://pet911.ru/lyubertsy/lost/cat/rl1203777,
Кошка,"Найдена кошка, Москва, Загород...","Найдена кошка, Москва, Загород...",Москва,https://pet911.ru/donskoy/found/cat/rf1203134,
Кошка,"Найдена кошка, Москва, Яна Рай...","Найдена кошка, Москва, Яна Рай...",Москва,https://pet911.ru/moskva/found/cat/rf1202822,
Кошка,"Найдена кошка, Район Кузьминки...","Найдена кошка, Район Кузьминки...",Москва,https://pet911.ru/kuzminki-2-snt/found/cat/rf1202651,
Кошка,"Пропала кошка, Москва, Юных Ле...","Пропала кошка, Москва, Юных Ле...",Москва,https://pet911.ru/kuzminki-2-snt/lost/cat/rl1202519,
Кошка,"Пропала кошка, Москва, Юных Ле...","Пропала кошка, Москва, Юных Ле...",Москва,https://pet911.ru/kuzminki-2-snt/lost/cat/rl1202460,
Собака,"Пропала собака, Москва, Лермон...","Пропала собака, Москва, Лермон...",Москва,https://pet911.ru/moskva/lost/dog/rl1202417,
Кошка,"Найдена кошка, Москва, Героев...","Найдена кошка, Москва, Героев...",Москва,https://pet911.ru/moskva/found/cat/rf1202261,
Собака,"Найдена собака, Район Тагански...","Найдена собака, Район Тагански...",Москва,https://pet911.ru/moskva/found/dog/rf1202204,
Кошка,"Пропала кошка, Аргуновская, Мо...","Пропала кошка, Аргуновская, Мо...",Москва,https://pet911.ru/moskva/lost/cat/rl1202158,
Собака,"Пропала собака, Люберцы, Карла...","Пропала собака, Люберцы, Карла...",Москва,https://pet911.ru/lyubertsy/lost/dog/rl1201827,
Кошка,"Найдена кошка, Москва, 3-я Гра...","Найдена кошка, Москва, 3-я Гра...",Москва,https://pet911.ru/bogorodskoye/found/cat/rf1201788,
Собака,"Пропала собака, Москва, Некрас...","Пропала собака, Москва, Некрас...",Москва,https://pet911.ru/nekrasovka/lost/dog/rl1201621,
Кошка,"Пропала кошка, Москва, Цандера...","Пропала кошка, Москва, Цандера...",Москва,https://pet911.ru/moskva/lost/cat/rl1202084,
Кошка,"Пропала кошка, Район Новокосин...","Пропала кошка, Район Новокосин...",Москва,https://pet911.ru/moskva/lost/cat/rl1201846,
Кошка,"Найдена кошка, Район Вешняки (...","Найдена кошка, Район Вешняки (...",Москва,https://pet911.ru/moskva/found/cat/rf1201802,
Кошка,"Найдена кошка, Москва, Рассвет...","Найдена кошка, Москва, Рассвет...",Москва,https://pet911.ru/moskva/found/cat/rf1201765,
Собака,"Найдена собака, Территория СНТ...","Найдена собака, Территория СНТ...",Москва,https://pet911.ru/odintsovo/found/dog/rf1201199,
Собака,"Пропала собака, ул. Стартовая...","Пропала собака, ул. Стартовая...",Москва,https://pet911.ru/moskva/lost/dog/rl1202615,
Собака,"Найдена собака, Москва — две с...","Найдена собака, Москва — две с...",Москва,https://pet911.ru/moskva/found/dog/rf1200949,
Собака,"Найдена собака, Открытое, д. 2...","Найдена собака, Открытое, д. 2...",Москва,https://pet911.ru/moskva/found/dog/rf1200493,
Собака,"Найдена собака, у Носовихинско...","Найдена собака, у Носовихинско...",Москва,https://pet911.ru/reutov/found/dog/rf1200398,
Собака,"Найдена собака, 3-я Парковая,...","Найдена собака, 3-я Парковая,...",Москва,https://pet911.ru/moskva/found/dog/rf1200353,
Собака,"Найдена собака, Поселок городс...","Найдена собака, Поселок городс...",Москва,https://pet911.ru/poselok-gorodskogo-tipa-tomilino/found/dog/rf1200251,
Собака,"Найдена собака, Москва, Сходне...","Найдена собака, Москва, Сходне...",Москва,https://pet911.ru/moskva/found/dog/rf1199144,
Собака,"Пропала собака, Люберцы — Байк...","Пропала собака, Люберцы — Байк...",Москва,https://pet911.ru/lyubertsy/lost/dog/rl1202632,
Собака,"Пропала собака, р-н Новое Изма...","Пропала собака, р-н Новое Изма...",Москва,https://pet911.ru/balashikha/lost/dog/rl1202146,
Собака,"Найдена собака, Москва, Жулеби...","Найдена собака, Москва, Жулеби...",Москва,https://pet911.ru/moskva/found/dog/rf1199668,
Собака,"Пропала собака, Балашиха, Луго...","Пропала собака, Балашиха, Луго...",Москва,https://pet911.ru/saltykovka/lost/dog/rl1199541,
Собака,"Найдена собака, Район Марьино...","Найдена собака, Район Марьино...",Москва,https://pet911.ru/derevnya-marino/found/dog/rf1199475,
Собака,"Найдена собака, Москва, Ленинг...","Найдена собака, Москва, Ленинг...",Москва,https://pet911.ru/moskva/found/dog/rf1199436,
Собака,"Пропала собака, Территория ПК...","Пропала собака, Территория ПК...",Москва,https://pet911.ru/balashikha/lost/dog/rl1199369,
Собака,"Найдена собака, Район Черемушк...","Найдена собака, Район Черемушк...",Москва,https://pet911.ru/kottedzhny-poselok-cheremushki/found/dog/rf1199139,
Собака,"Найдена собака, Москва, Волоко...","Найдена собака, Москва, Волоко...",Москва,https://pet911.ru/moskva/found/dog/rf1199043,
Собака,"Пропала собака, Одинцово, Скол...","Пропала собака, Одинцово, Скол...",Москва,https://pet911.ru/odintsovo/lost/dog/rl1198867,
Собака,"Найдена собака, Район Преображ...","Найдена собака, Район Преображ...",Москва,https://pet911.ru/moskva/found/dog/rf1198928,
Собака,"Найдена собака, 3-я Богатырска...","Найдена собака, 3-я Богатырска...",Москва,https://pet911.ru/bogorodskoye/found/dog/rf1198814,
Собака,"Найдена собака, Москва, 1-я Вл...","Найдена собака, Москва, 1-я Вл...",Москва,https://pet911.ru/moskva/found/dog/rf1198419,
Собака,"Найдена собака, женская, район...","Найдена собака, женская, район...",Москва,https://pet911.ru/moskva/found/dog/rf1198615,
Собака,"Найдена собака, Район Текстиль...","Найдена собака, Район Текстиль...",Москва,https://pet911.ru/moskva/found/dog/rf1198320,
Собака,"Найдена собака, Москва — хаски...","Найдена собака, Москва — хаски...",Москва,https://pet911.ru/moskva/found/dog/rf1198250,
Собака,"Пропала собака, Одинцово — ста...","Пропала собака, Одинцово — ста...",Москва,https://pet911.ru/odintsovo/lost/dog/rl1197930,
